,Unnamed: 0,French,English
0,1,histoire,history
1,2,chercher,search
2,4,police,police
3,5,pensais,thought
4,6,aide,help
5,7,demande,request
6,8,genre,kind
7,9,mois,month
8,10,frère,brother
9,12,car,because
10,14,aucun,no
11,15,laisse,leash
12,16,eux,them
13,17,ville,city
14,19,parlé,speak
15,20,arrivé,come
16,22,bébé,baby
17,23,longtemps,long time
18,25,vont,will
19,26,pendant,while
20,27,revoir,meet again
21,29,place,square
22,30,parle,speak
23,31,compris,understood
24,32,savais,knew
25,34,voici,here is
26,35,pourrais,could
27,36,affaire,case
28,37,donner,give
29,38,type,type
30,39,leurs,their
31,40,donné,given
32,41,train,train
33,42,corps,body
34,43,endroit,place
35,44,yeux,eyes
36,45,façon,way
37,46,écoute,listen
38,47,dont,whose
39,48,trouve,find
40,49,premier,first
41,50,perdu,lost
42,51,main,hand
43,53,pouvoir,power
44,54,vieux,old
45,55,sois,be
46,56,tiens,here
47,57,matin,morning
48,60,point,point
49,61,venu,came
50,62,pardon,sorry
51,63,venez,come
52,66,minutes,minutes
53,67,demandé,request
54,68,chambre,bedroom
55,69,mis,placed
56,70,belle,beautiful
57,71,droit,law
58,72,aimerais,would like to
59,73,aujourd'hui,today
60,74,mari,husband
61,75,cause,cause
62,76,enfin,finally
63,77,espère,hope
64,78,eau,water
65,79,attendez,Wait
66,80,parti,left
67,81,nouvelle,new
68,82,boulot,job
69,83,arrêter,Stop
70,84,dirait,would say
71,85,terre,Earth
72,86,compte,account
73,87,donne,given
74,88,loin,far
75,89,fin,end
76,90,croire,believe
77,91,chérie,sweetheart
78,92,gros,large
79,93,plutôt,rather
80,94,aura,will have
81,95,filles,girls
82,96,jouer,to play
83,97,bureau,office
